ph,temperature,turbidity,fish
7.2,21.0,8.0,magur
7.3,22.0,7.6,magur
7.4,23.0,7.5,magur
7.1,24.0,7.4,magur
7.2,25.0,7.0,magur
7.3,26.0,7.3,magur
7.4,27.0,8.0,magur
7.1,28.0,8.0,magur
7.2,29.0,8.0,magur
7.3,30.0,8.0,magur
7.1,23.0,4.06,rui
7.2,24.0,4.07,rui
7.3,25.0,4.08,rui
7.4,26.0,4.09,rui
7.5,27.0,5.0,rui
7.6,28.0,5.01,rui
7.7,29.0,5.02,rui
7.8,30.0,5.03,rui
7.9,31.0,5.04,rui
8.0,32.0,5.05,rui
8.1,33.0,5.06,rui
8.2,34.0,5.07,rui
8.3,35.0,5.08,rui
7.8,27.0,5.7,sing
7.5,31.0,5.8,sing
7.9,25.0,5.9,sing
8.5,32.0,7.0,sing
6.5,28.0,7.1,sing
6.6,29.0,7.2,sing
6.8,30.0,7.3,sing
6.9,31.0,7.4,sing
7.0,26.0,7.5,sing
7.4,18.0,14.5,shrimp
7.9,32.0,14.6,shrimp
7.5,19.0,14.7,shrimp
7.6,20.0,14.8,shrimp
7.7,21.0,14.9,shrimp
7.8,22.0,15.1,shrimp
7.9,23.0,15.2,shrimp
7.4,24.0,15.0,shrimp
7.9,25.0,15.3,shrimp
7.5,26.0,15.4,shrimp
7.6,27.0,15.5,shrimp
7.7,28.0,15.7,shrimp
7.8,29.0,15.8,shrimp
7.9,30.0,15.19,shrimp
7.6,32.0,5.0,silverCup
8.5,28.0,5.6,silverCup
7.6,32.0,6.1,silverCup
8.8,25.0,7.0,silverCup
7.0,29.0,5.9,silverCup
8.6,30.0,6.5,silverCup
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18.0,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18.0,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18.0,3.46,pangas
8.87,18.0,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18.0,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21.0,3.48,rui
6.01,21.0,3.49,rui
6.0,21.0,3.48,rui
6.09,21.06,3.48,rui
6.93,21.0,3.47,rui
6.42,20.94,3.47,rui
6.48,21.0,3.46,rui
7.0,21.0,3.46,rui
7.27,21.06,3.45,rui
7.24,21.0,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21.0,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6.0,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7.0,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21.0,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18.0,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18.0,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18.0,3.46,pangas
8.87,18.0,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18.0,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21.0,3.48,rui
6.01,21.0,3.49,rui
6.0,21.0,3.48,rui
6.09,21.06,3.48,rui
6.93,21.0,3.47,rui
6.42,20.94,3.47,rui
6.48,21.0,3.46,rui
7.0,21.0,3.46,rui
7.27,21.06,3.45,rui
7.24,21.0,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21.0,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6.0,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7.0,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21.0,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18.0,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18.0,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18.0,3.46,pangas
8.87,18.0,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18.0,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21.0,3.48,rui
6.01,21.0,3.49,rui
6.0,21.0,3.48,rui
6.09,21.06,3.48,rui
6.93,21.0,3.47,rui
6.42,20.94,3.47,rui
6.48,21.0,3.46,rui
7.0,21.0,3.46,rui
7.27,21.06,3.45,rui
7.24,21.0,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21.0,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6.0,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7.0,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21.0,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18.0,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18.0,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18.0,3.46,pangas
8.87,18.0,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18.0,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21.0,3.48,rui
6.01,21.0,3.49,rui
6.0,21.0,3.48,rui
6.09,21.06,3.48,rui
6.93,21.0,3.47,rui
6.42,20.94,3.47,rui
6.48,21.0,3.46,rui
7.0,21.0,3.46,rui
7.27,21.06,3.45,rui
7.24,21.0,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21.0,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6.0,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7.0,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21.0,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
8.176088412884852,21.03922912965312,3.3101075934943216,rui
6.582842324954512,17.42823819591032,3.6466843213403743,pangas
7.763780831233727,21.030443538003738,3.8575289209971424,tilapia
8.37397762885694,27.476185628215863,2.4484067838290686,tilapia
7.656488783414022,21.11751240285011,3.577340426864042,rui
8.292049130936562,17.986605642707687,3.6402358575993983,rui
8.416391314544423,31.523727204488047,3.9806498881949883,pangas
8.049230609740816,21.64334504039828,3.8759321025663245,silverCup
7.8501044498091925,17.072052841240033,3.440880327167224,rui
7.171703777053397,23.29478403001,5.713832878853804,tilapia
6.9964660941329,20.967108403152398,3.6546072145690465,rui
8.612035466405864,18.438562889233737,3.622063604607378,sing
7.530689754362098,20.917597021976526,3.3246323532666437,shrimp
7.2956391584548435,32.298614259231954,5.9662866183704795,sing
6.621715477549541,22.36157764575181,4.1027545019728535,pangas
7.76205933501231,26.116027718579716,6.0895235721224,karpio
8.332991365346215,17.511058447803954,3.620778252616658,sing
7.655441793736876,27.55339036680009,4.808889182284906,silverCup
8.262510362322377,17.000613945389986,3.3129922183221074,pangas
8.758985513685515,17.844042721269865,3.846602973306128,silverCup
8.070369710719048,21.46213446267031,3.523115968102358,rui
7.1053282990499795,20.89435547874131,3.750997560874429,silverCup
6.02604868140738,20.819640693505267,3.5268065887103455,katla
7.6086921490597765,21.386402473024148,3.1407715527105395,shrimp
7.239540380686066,28.270477074095616,5.134736289275028,tilapia
7.868457590904595,16.957339331313293,3.3530090830284514,shrimp
7.711135957498162,21.102185231333358,3.8248559315829658,katla
8.440311839675548,29.819359362215742,3.57772445528244,silverCup
8.515098351959132,17.959210425846646,3.3911606842211417,rui
6.9914051854834955,21.347855200248716,3.72376505722503,sing
7.338128261772705,28.00662593621388,8.177169765307017,silverCup
7.753097588817031,21.017840109626466,3.50970693281774,rui
6.194262559863335,30.145203584307332,4.889555208529563,katla
6.5327055048161125,21.82979923362875,3.519265562398229,pangas
7.010108516359508,21.165922321662574,3.487539878326982,pangas
7.086565925959268,11.069326338212724,7.6009225955827855,silverCup
8.263287013624167,18.041486849791276,3.582458499427224,sing
7.817408686056048,28.535434974544902,4.042613748025999,rui
6.977936711098851,20.95445004083146,3.6839268916029533,tilapia
7.4523941343249644,23.42061476746669,2.9770810659348097,silverCup
8.046891862263632,33.79994318706295,5.060649978591453,silverCup
7.313529791080566,17.54785914536844,9.378303412114656,sing
7.940750360338332,28.70024676016203,6.1676804631931414,rui
8.825283307725567,18.268098867108872,3.5220399914172944,shrimp
7.324289139460272,6.323362279115589,9.38020426595354,rui
8.307820205197876,30.15665596863585,3.869581805815561,katla
7.700363322204838,28.6062259172949,6.791580920699998,tilapia
7.070398956271978,20.572395027959153,3.5542499742289784,pangas
6.656968402703652,21.685959571990477,3.712824271719669,rui
8.967244813868774,17.791421809993935,3.5295856985346483,pangas
9.087735953443712,27.977302493010946,3.603183974966672,shrimp
7.43996319956089,20.935179292797958,3.587080157112073,sing
7.84434140657377,25.0546629902686,5.76006275326115,sing
6.066236308176151,25.714543275416638,4.138619827930562,katla
6.977375464452702,21.517479785302257,2.9997286073198044,tilapia
8.697095598130403,17.856786643044323,3.3286754344697016,rui
7.071252687206528,21.38978237589287,3.717874436172083,silverCup
6.125556846107675,21.16682517584619,3.541264591918342,tilapia
6.637106234416481,24.97394584167081,4.645902448094779,rui
6.777706200742247,20.635641395568612,3.584725180566962,tilapia
8.071769879328974,18.556184358766362,3.8291293359587106,pangas
7.817732674171429,24.103151247446057,5.768363185840182,rui
6.805681376880775,26.763938517314035,3.2476416904334706,pangas
7.033044007277236,20.871829133751387,3.1127307898341314,shrimp
7.578340716646955,21.20335977859903,3.72529753233797,silverCup
6.980845238641642,30.889244928077936,3.950452786468459,sing
7.493008934126242,21.83308626959312,3.4427739631145666,rui
8.054444328121285,18.254801239172764,3.6841191901196026,sing
6.5453381118604925,29.218068900982043,7.634971626707284,silverCup
6.254374585113615,21.378748676061786,3.845271416227188,rui
8.746467008793275,17.661586491197085,3.383888308416355,rui
7.0741968786384914,21.180044989958073,3.1865070856044717,pangas
7.352074041612904,20.76266544092802,3.1131856947814236,shrimp
6.088112389397341,21.66426072637937,3.5364444012977625,tilapia
7.508150230687236,21.162988990258466,3.597293751896562,karpio
8.265134066892559,20.799311448450656,3.2441410604683014,sing
7.100440279218446,21.72775279042274,3.541435306601495,katla
7.537527084885986,24.574082989432803,2.98288899136881,silverCup
8.109075856584752,17.659166598360507,3.498148208174046,sing
7.449162655283429,21.404783120746355,3.4506843586945157,pangas
8.34937403969352,17.574722142999608,3.7119360194292312,tilapia
7.889727853423336,17.09497239208223,3.40614559634112,pangas
7.109951065190512,21.231732993052233,3.2264548614622246,katla
7.0060453463158145,20.791378457887795,3.681569055110332,katla
7.00961078947794,21.647083254149855,3.4019928917200337,pangas
8.574911989126726,18.2721498694427,3.422998303749634,katla
6.892543276033106,20.916909112331716,3.7562948206855484,rui
6.79057777062869,30.75458567687933,7.4041554285432065,shrimp
6.65774833102091,21.184245019112375,3.3419684122555373,shrimp
6.932358670059305,21.66805293317558,3.797049423993325,rui
7.605994455670244,26.554043447561888,7.1378537021480835,sing
8.161886236955942,20.64770358650108,3.4584056443367492,katla
6.471826026979407,21.36939776085523,3.351507500508917,pangas
7.102175637311323,12.180225708988297,7.478051174381155,katla
6.934050099497709,26.95789325442196,7.16375167638792,katla
7.441315326081301,21.669557129053043,3.7129433581413096,pangas
7.946187696749045,28.798263453638818,5.831535482614048,katla
8.879254235775914,17.821546369350912,3.4624692185527297,sing
7.356641873123606,24.408010297505,4.131249745677867,tilapia
8.73598818657723,30.524417353641375,3.0717001076093378,katla
6.924094298537644,21.143135578275388,3.307609286628368,rui
7.633161420483211,14.227109956682796,9.254633599131134,rui
6.982754550689954,26.762937251464994,7.147928269029412,rui
7.19015481919666,19.670214489247694,8.041224101902221,katla
7.850990978688023,21.142045290516734,3.3052058471654018,rui
8.713822561128984,18.09292498980607,3.517663559583892,tilapia
7.0407856580058645,24.498496678404003,4.108942338737642,katla
5.9538415100735245,20.751999021993363,3.326536102372328,tilapia
8.343939338834188,17.545636150538964,3.4248722203150344,koi
6.857786509828793,21.754038245858013,3.177322027618392,pangas
7.445997419823393,29.39506693773701,8.196160775419045,karpio
8.693724374376124,17.25800928391503,3.329237362924188,katla
8.250207518813218,17.1497386585655,3.6702230803071103,tilapia
7.909957562261987,17.94931502689899,3.511053370308662,prawn
6.910752590915406,21.285258151079123,3.526491172451468,tilapia
8.240150215685011,17.73621956872898,3.777549023541053,tilapia
7.053895247386809,21.863878259606164,3.647900262785802,sing
5.9769081446479735,21.893319293530556,3.586575066027916,rui
7.515968844791147,27.31401272697828,5.065702197449271,rui
7.712645854645455,27.83908048332463,15.690493211712857,tilapia
6.777958548006591,30.551997535025325,7.453711539309078,pangas
8.769213600611552,18.498464594293505,3.147052355074636,tilapia
7.98044420824317,27.877477544501303,6.249505969232485,silverCup
7.9384835680161085,21.71658167080669,3.693856766730118,silverCup
7.99596268474478,20.931900408348078,3.5808047147732793,silverCup
8.159007370210526,22.434882232222037,3.716662956174472,silverCup
7.7536764538878,26.788561822951934,5.73440555104959,silverCup
8.431862663471472,30.561648951213655,6.649314583250997,rui
7.3646385857014955,25.84889543016319,3.756468043041916,pangas
7.754427312740639,17.814481984477055,3.8951659982690314,shrimp
8.798947601502572,18.185619508218196,3.427192824151017,silverCup
6.024639732871849,26.7267554845834,4.262101260793048,magur
8.808862985916686,17.63639075665671,3.6759100928103186,rui
8.002474906408231,26.805890983147858,5.669053728716206,silverCup
7.933504523396112,21.5479687775985,3.6709252306319717,prawn
8.437860875398396,33.998488686079845,5.047103033844164,rui
8.043654733725468,20.73719185437229,3.7044365470970138,pangas
8.23875722482644,25.29390539828618,3.6402807042184215,tilapia
7.679918250252225,21.0861845836929,3.6492422767900057,katla
8.308798302453503,17.411642071948208,3.471145366304753,rui
6.999176640222606,20.794356296187555,3.079216431618262,tilapia
6.691939100975017,20.944240219286282,3.7337366752751313,silverCup
8.457477940642049,27.38493836741461,5.4922078784695,katla
6.0733666985757715,21.773839676225563,3.333158542527346,katla
8.172106657951579,18.96355190088198,3.6281001929288745,pangas
7.131590217322466,22.032337144113168,3.5150146414696755,katla
7.990819280448604,20.756644039088705,3.961611238123678,tilapia
5.7922446622237524,21.12439750633407,3.6975146822796883,tilapia
8.732859965379827,18.422774306312697,3.523984729286638,katla
8.83458051761052,18.605704342394542,3.7690737422862837,rui
7.855076477970398,20.394392227716963,3.594897435798984,tilapia
6.472138480649377,21.61839384360006,3.7030895754944813,sing
7.9076990398643074,29.16160051135602,16.023816999155446,pangas
8.066738023382314,17.68102633770368,3.613018777841384,tilapia
8.854807502786452,18.037059008395982,3.460325299622965,rui
6.738686517946055,24.516104547687856,4.405879869014226,katla
8.327502917314392,17.404616388672,3.821803484707342,shrimp
8.338784540356437,18.299066756946896,3.64170327611717,katla
