Sample ID,pH,Temperature (°C),Turbidity (NTU),Dissolved Oxygen (mg/L),Conductivity (µS/cm),Survivable_Fish
262,7.29,20.8,4.6,9.2,355,"Goldfish, Silver Carp, Koi Carp"
263,7.01,22.3,4.3,7.7,329,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
264,7.18,23.0,3.7,9.1,352,"Goldfish, Silver Carp, Koi Carp"
265,7.14,20.5,4.5,7.9,334,"Goldfish, Silver Carp, Koi Carp"
266,7.25,21.3,4.2,8.4,346,"Goldfish, Silver Carp, Koi Carp"
267,7.05,22.6,3.8,7.5,328,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
268,7.2,21.2,4.7,8.1,341,"Goldfish, Silver Carp, Koi Carp"
269,7.1,22.9,3.9,8.7,348,"Goldfish, Guppy, Silver Carp, Koi Carp"
270,7.33,23.4,4.6,9.8,368,"Goldfish, Silver Carp, Koi Carp"
271,7.07,20.6,3.8,7.7,331,"Goldfish, Silver Carp, Koi Carp"
272,7.21,22.1,4.5,8.9,355,"Goldfish, Guppy, Silver Carp, Koi Carp"
273,7.23,23.3,4.2,8.6,351,"Goldfish, Guppy, Silver Carp, Koi Carp"
274,7.16,20.8,4.3,8.0,332,"Goldfish, Silver Carp, Koi Carp"
275,7.28,23.0,3.6,9.4,362,"Goldfish, Silver Carp, Koi Carp"
276,7.09,21.9,4.5,7.8,338,"Goldfish, Silver Carp, Koi Carp"
277,7.22,20.5,4.4,8.5,345,"Goldfish, Silver Carp, Koi Carp"
278,7.04,22.8,3.7,8.2,333,"Goldfish, Guppy, Silver Carp, Koi Carp"
279,7.35,21.4,4.6,9.7,370,"Goldfish, Silver Carp, Koi Carp"
280,7.08,22.2,3.9,7.9,335,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
281,7.26,21.0,4.5,9.3,359,"Goldfish, Silver Carp, Koi Carp"
282,7.03,23.2,4.2,7.6,327,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
283,7.15,21.1,4.1,8.3,342,"Goldfish, Silver Carp, Koi Carp"
284,7.19,22.5,4.3,9.0,351,"Goldfish, Guppy, Silver Carp, Koi Carp"
285,7.11,22.9,3.8,8.0,339,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
286,7.01,20.9,4.6,7.2,328,"Goldfish, Silver Carp, Koi Carp"
287,7.31,21.6,3.9,9.2,358,"Goldfish, Silver Carp, Koi Carp"
288,7.02,22.2,4.4,7.4,337,"Goldfish, Tilapia, Guppy, Silver Carp, Koi Carp"
289,7.25,21.8,4.1,8.9,345,"Goldfish, Silver Carp, Koi Carp"
290,7.12,23.5,4.5,7.9,333,"Goldfish, Tilapia, Guppy, Mrigal, Silver Carp, Koi Carp"
291,7.16,21.3,4.0,8.3,341,"Goldfish, Silver Carp, Koi Carp"
292,7.29,22.4,4.7,9.2,360,"Goldfish, Silver Carp, Koi Carp"
293,7.01,21.0,4.5,7.7,328,"Goldfish, Silver Carp, Koi Carp"
294,7.18,23.2,3.9,9.1,353,"Goldfish, Silver Carp, Koi Carp"
295,7.14,20.9,4.4,7.9,336,"Goldfish, Silver Carp, Koi Carp"
296,7.25,22.5,3.8,8.4,343,"Goldfish, Guppy, Silver Carp, Koi Carp"
297,7.05,21.1,4.3,7.5,330,"Goldfish, Silver Carp, Koi Carp"
298,7.2,22.9,4.6,8.1,346,"Goldfish, Guppy, Silver Carp, Koi Carp"
299,7.1,21.8,3.9,8.7,342,"Goldfish, Silver Carp, Koi Carp"
300,7.33,23.1,4.5,9.8,366,"Goldfish, Silver Carp, Koi Carp"
301,7.07,20.7,3.8,7.7,331,"Goldfish, Silver Carp, Koi Carp"
